store_code,store_name,erp_store_no,venta_serie,nota_credito_serie,movement_date,operation,document_no,reference_document_no,product_code,description,quantity
1000,CD-GPC,CD-GPC,,,,Venta,,,,,
1001,GPC001 LIM - PERLA,1,,,,Venta,,,,,
1002,GPC002 LIM - SUMINISTRO,4,,,,Venta,,,,,
1003,GPC003 LIM - GRUPO,5,,,,Venta,,,,,
1004,GPC004 LIM - TIENDA VIRTUAL,2,,,,Venta,,,,,
1005,GPC005 LIM - CORPORATIVO,3,,,,Venta,,,,,
1006,GPC006 LIM - CALLAO,6,,,,Venta,,,,,
1007,GPC007 LIB - TRUJILLO,7,,,,Venta,,,,,
1008,GPC008 LAM - CHI. DIAMANTE,8,,,,Venta,,,,,
1009,GPC009 LAM - CHI. LEGUIA,9,,,,Venta,,,,,
1010,GPC010 LIM - HUAROCHIRI,10,,,,Venta,,,,,
1011,GPC011 LIM - NARANJAL,11,,,,Venta,,,,,
1012,GPC012 PIU - PIURA,12,,,,Venta,,,,,
1013,GPC013 ARE - EVITAMIENTO,13,,,,Venta,,,,,
1014,GPC014 LIM - SURQUILLO,14,,,,Venta,,,,,
1015,GPC015 JUN - HUANCAYO,15,,,,Venta,,,,,
1016,GPC016 LIM - LURIN,16,,,,Venta,,,,,
1017,GPC017 LIM - ARRIOLA,17,,,,Venta,,,,,
1018,GPC018 LIM - VILLA EL SALVADOR,18,,,,Venta,,,,,
1020,GPC020 LIM - CHORILLOS,20,,,,Venta,,,,,
1021,GPC021 LIM - PUENTE PIEDRA,21,,,,Venta,,,,,
1022,GPC022 LIM - HUACHIPA,22,,,,Venta,,,,,
1023,GPC023 ARE - MIRAFLORES,23,,,,Venta,,,,,
1024,GPC024 CAJ - CAJAMARCA,24,,,,Venta,,,,,
1025,GPC025 APU - ABANCAY,19,,,,Venta,,,,,
1026,GPC026 ICA - ICA,25,,,,Venta,,,,,
1100,ALMACEN  DE DISCREPANCIAS,100,,,,Venta,,,,,
