"TABLE_SCHEMA","TABLE_NAME","TABLE_TYPE"
"dbo","ADJUSTMENT_REASON","BASE TABLE"
"dbo","ALERT_DISC_REASON","BASE TABLE"
"dbo","ALERT_MOVEMENT_TYPE","BASE TABLE"
"dbo","ALERT_RETURN_REASON","BASE TABLE"
"dbo","ALERT_VOID_REASON","BASE TABLE"
"dbo","DAILY_MOVEMENT_DOCUMENTS","BASE TABLE"
"dbo","DISC_REASON_AREA","BASE TABLE"
"dbo","DISC_REASON_STATUS","BASE TABLE"
"dbo","ELECTRONIC_DOCUMENT_REASON","BASE TABLE"
"dbo","INVENTORY_REQUEST","BASE TABLE"
"dbo","INVENTORY_REQUEST_DECLINE_REASON","BASE TABLE"
"dbo","INVENTORY_REQUEST_FLAG1","BASE TABLE"
"dbo","INVENTORY_REQUEST_LINE","BASE TABLE"
"dbo","INVENTORY_REQUEST_NUMBER","BASE TABLE"
"dbo","INVENTORY_REQUEST_REASON","BASE TABLE"
"dbo","MAS200_RECEIPT_DISC_REASON","BASE TABLE"
"dbo","MASTER_INVENTORY_REQUEST","BASE TABLE"
"dbo","MASTER_INVENTORY_REQUEST_LINE","BASE TABLE"
"dbo","MASTER_INVENTORY_REQUEST_NUMBER","BASE TABLE"
"dbo","MASTER_INVENTORY_REQUEST_STORE","BASE TABLE"
"dbo","MOVEMENT_NOTE","BASE TABLE"
"dbo","MOVEMENT_NOTE_BATCH","BASE TABLE"
"dbo","MOVEMENT_NOTE_BATCH_LINE","BASE TABLE"
"dbo","MOVEMENT_NOTE_LINE","BASE TABLE"
"dbo","MOVEMENT_NOTE_NUMBER","BASE TABLE"
"dbo","PRE_TRANSFER_DIRECTIVE","BASE TABLE"
"dbo","PRE_TRANSFER_DIRECTIVE_LINE","BASE TABLE"
"dbo","RECEIPT_DISC_REASON","BASE TABLE"
"dbo","REWARD_EVENT_DISC_REASON","BASE TABLE"
"dbo","SO_HOLD_REASON","BASE TABLE"
"dbo","STORE_CUSTOMER_REQUEST","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_BATCH","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_BATCH_ERROR","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_BATCH_LINE","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_BATCH_RELATION","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_FLAG1","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_LINE","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_LINE_PICKING","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_NUMBER","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_PICKING","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_PICKING_BATCH","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_PICKING_BATCH_RELATION","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_PICKING_LINE","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_PICKING_NUMBER","BASE TABLE"
"dbo","TRANSFER_DIRECTIVE_SOURCE","BASE TABLE"
