"table_name","column_name","value_found","total_in_column"
"INVENTORY_REQUEST","Notes","RETORNO JABAS / ABASTECIMIENTO 17.04.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 10.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 14-02-2026","3240"
"INVENTORY_REQUEST","Notes","ABASTECIMIENTO / AUT. POR D.A","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 12.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 14.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 12.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 10.02.2026","3240"
"INVENTORY_REQUEST","Notes","V. URGENTE /ENTREGAR A MOTORIZADO POR FAVOR","3240"
"INVENTORY_REQUEST","Notes","VENTA URG. / RQ:355345","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 12.02.2026","3240"
"INVENTORY_REQUEST","Notes","VENTA URG. ENVIAR A CD / RQ: 355345","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 10.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 09.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO DE JABAS - ABASTECIMIENTO 09.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 17.04.2026","3240"
"INVENTORY_REQUEST","Notes","VENTA URG. MANDAR CON MOTORIZADO POR FAVOR / RQ: 366457","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 13.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 14.02.2026","3240"
"INVENTORY_REQUEST","Notes","ABASTECIMIENTO / AUT. POR D.A","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 10.02.2026","3240"
"INVENTORY_REQUEST","Notes","ABASTECIMIENTO / AUT. POR D.A","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 10.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 09.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 12.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 10.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 10.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 17.04.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECIMIENTO 11.02.2026","3240"
"INVENTORY_REQUEST","Notes","RETORNO JABAS - ABASTECICMIENTO 12.02.2026","3240"
"INVENTORY_REQUEST_FLAG1","IRFlag1Description","VENTA URGENTE","3"
"INVENTORY_REQUEST_FLAG1","IRFlag1Description","ABASTECIMIENTO","3"
"INVENTORY_REQUEST_FLAG1","IRFlag1Description","ABASTECIMIENTO URGENTE","3"
"TRANSFER_DIRECTIVE","Notes","regulñarizacion de abastecimiento
From Inventory Request 38 WS: WS0","1"
