"TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","IS_NULLABLE","ORDINAL_POSITION"
"INVENTORY_REQUEST","StoreNo","int","","10","0","NO","1"
"INVENTORY_REQUEST","InvRequestId","uniqueidentifier","","","","NO","2"
"INVENTORY_REQUEST","InvRequestNo","int","","10","0","YES","3"
"INVENTORY_REQUEST","ReasonCode","char","1","","","NO","4"
"INVENTORY_REQUEST","StatusCode","char","1","","","NO","5"
"INVENTORY_REQUEST","InvRequestDate","datetime","","","","YES","6"
"INVENTORY_REQUEST","EmployeeCode","varchar","10","","","NO","7"
"INVENTORY_REQUEST","OutToStore","int","","10","0","NO","8"
"INVENTORY_REQUEST","OutToStatus","bit","","","","NO","9"
"INVENTORY_REQUEST","LineCount","int","","10","0","YES","10"
"INVENTORY_REQUEST","CreatedBy","varchar","20","","","YES","11"
"INVENTORY_REQUEST","CreationDate","datetime","","","","YES","12"
"INVENTORY_REQUEST","ModifiedBy","varchar","20","","","YES","13"
"INVENTORY_REQUEST","ChangeDate","datetime","","","","YES","14"
"INVENTORY_REQUEST","DocNumber","varchar","20","","","YES","15"
"INVENTORY_REQUEST","Notes","varchar","500","","","YES","16"
"INVENTORY_REQUEST","VAT","bit","","","","NO","17"
"INVENTORY_REQUEST","GLProcessed","bit","","","","NO","18"
"INVENTORY_REQUEST","GLDate","datetime","","","","YES","19"
"INVENTORY_REQUEST","DWProcessed","bit","","","","NO","20"
"INVENTORY_REQUEST","DWDate","datetime","","","","YES","21"
"INVENTORY_REQUEST","ACCT1Processed","bit","","","","NO","22"
"INVENTORY_REQUEST","ACCT1Date","datetime","","","","YES","23"
"INVENTORY_REQUEST","ACCT2Processed","bit","","","","NO","24"
"INVENTORY_REQUEST","ACCT2Date","datetime","","","","YES","25"
"INVENTORY_REQUEST","ACCT3Processed","bit","","","","NO","26"
"INVENTORY_REQUEST","ACCT3Date","datetime","","","","YES","27"
"INVENTORY_REQUEST","SourceStore","int","","10","0","YES","28"
"INVENTORY_REQUEST","SOStoreNo","int","","10","0","YES","29"
"INVENTORY_REQUEST","SOId","uniqueidentifier","","","","YES","30"
"INVENTORY_REQUEST","DeclineReasonCode","varchar","10","","","YES","31"
"INVENTORY_REQUEST","BatchId","int","","10","0","YES","32"
"INVENTORY_REQUEST","RegisterId","varchar","10","","","YES","33"
"INVENTORY_REQUEST","Version","varchar","10","","","YES","34"
"INVENTORY_REQUEST","IRFlag1","int","","10","0","YES","35"
"INVENTORY_REQUEST","LockedBy","varchar","30","","","YES","36"
"INVENTORY_REQUEST","MasterInvRequestId","uniqueidentifier","","","","YES","37"
"INVENTORY_REQUEST","MasterInvRequestDocNumber","varchar","20","","","YES","38"
"INVENTORY_REQUEST","ExpirationDate","datetime","","","","YES","39"
