"fk_name","parent_schema","parent_table","parent_column","ref_schema","ref_table","ref_column"
"FK__ADJUSTMENT__STORE","dbo","ADJUSTMENT","StoreNo","dbo","STORE","StoreNo"
"FK__ADJUSTMENT_LINE__PRODUCT","dbo","ADJUSTMENT_LINE","SKU","dbo","PRODUCT","SKU"
"FK_ADJUSTMENT_NOTE_STORE","dbo","ADJUSTMENT_NOTE","StoreNo","dbo","STORE","StoreNo"
"FK_ADJUSTMENT_NOTE_LINE_PRODUCT","dbo","ADJUSTMENT_NOTE_LINE","SKU","dbo","PRODUCT","SKU"
"FK_ADJUSTMENT_STORE_PRODUCT","dbo","ADJUSTMENT_STORE","SKU","dbo","PRODUCT","SKU"
"FK_ADJUSTMENT_STORE_STORE","dbo","ADJUSTMENT_STORE","AdjustmentStoreNo","dbo","STORE","StoreNo"
"FK_BALANCE_EVENT_STORE_STORE","dbo","BALANCE_EVENT_STORE","StoreNo","dbo","STORE","StoreNo"
"FK_BENEFIT_STORE","dbo","BENEFIT","StoreNo","dbo","STORE","StoreNo"
"FK__CUSTOMER__STORE","dbo","CUSTOMER","StoreNo","dbo","STORE","StoreNo"
"FK_FORMULA_STORE_STORE","dbo","FORMULA_STORE","StoreNo","dbo","STORE","StoreNo"
"FK_GIFT_CERTIFICATE_STORE","dbo","GIFT_CERTIFICATE","StoreNo","dbo","STORE","StoreNo"
"FK__HOLD_SLIP__STORE","dbo","HOLD_SLIP","StoreNo","dbo","STORE","StoreNo"
"FK_HOLD_SO_LINE__PRODUCT","dbo","HOLD_SO_LINE","SKU","dbo","PRODUCT","SKU"
"FK__HOLD_VOUCHER__STORE","dbo","HOLD_VOUCHER","StoreNo","dbo","STORE","StoreNo"
"FK_INVENTORY_REQUEST_EMPLOYEE","dbo","INVENTORY_REQUEST","EmployeeCode","dbo","EMPLOYEE","EmployeeCode"
"FK_INVENTORY_REQUEST_INVENTORY_REQUEST_REASON","dbo","INVENTORY_REQUEST","ReasonCode","dbo","INVENTORY_REQUEST_REASON","ReasonCode"
"FK_INVENTORY_REQUEST_POLL_STATUS","dbo","INVENTORY_REQUEST","PollStatusCode","dbo","POLL_STATUS","PollStatusCode"
"FK_INVENTORY_REQUEST_STORE","dbo","INVENTORY_REQUEST","StoreNo","dbo","STORE","StoreNo"
"FK_INVENTORY_REQUEST_FLAG1_POLL_STATUS","dbo","INVENTORY_REQUEST_FLAG1","PollStatusCode","dbo","POLL_STATUS","PollStatusCode"
"FK_INVENTORY_REQUEST_LINE_INVENTORY_REQUEST","dbo","INVENTORY_REQUEST_LINE","StoreNo","dbo","INVENTORY_REQUEST","StoreNo"
"FK_INVENTORY_REQUEST_LINE_INVENTORY_REQUEST","dbo","INVENTORY_REQUEST_LINE","InvRequestId","dbo","INVENTORY_REQUEST","InvRequestId"
"FK_INVENTORY_REQUEST_LINE_PRODUCT","dbo","INVENTORY_REQUEST_LINE","SKU","dbo","PRODUCT","SKU"
"FK_INVENTORY_REQUEST_TYPE_POLL_STATUS","dbo","INVENTORY_REQUEST_REASON","PollStatusCode","dbo","POLL_STATUS","PollStatusCode"
"FK__INVOICE__STORE","dbo","INVOICE","StoreNo","dbo","STORE","StoreNo"
"FK_MAS200_GL_ACCOUNT_STORE","dbo","MAS200_GL_ACCOUNT","StoreNo","dbo","STORE","StoreNo"
"FK_MASTER_INVENTORY_REQUEST_INVENTORY_REQUEST_FLAG1","dbo","MASTER_INVENTORY_REQUEST","IRFlag1","dbo","INVENTORY_REQUEST_FLAG1","IRFlag1"
"FK_MASTER_INVENTORY_REQUEST_INVENTORY_REQUEST_REASON","dbo","MASTER_INVENTORY_REQUEST","ReasonCode","dbo","INVENTORY_REQUEST_REASON","ReasonCode"
"FK_MASTER_INVENTORY_REQUEST_POLL_STATUS","dbo","MASTER_INVENTORY_REQUEST","PollStatusCode","dbo","POLL_STATUS","PollStatusCode"
"FK_MASTER_INVENTORY_REQUEST_LINE_MASTER_INVENTORY_REQUEST","dbo","MASTER_INVENTORY_REQUEST_LINE","MasterInvRequestId","dbo","MASTER_INVENTORY_REQUEST","MasterInvRequestId"
"FK_MASTER_INVENTORY_REQUEST_LINE_PRODUCT","dbo","MASTER_INVENTORY_REQUEST_LINE","SKU","dbo","PRODUCT","SKU"
"FK_MILESTONE_STORE","dbo","MILESTONE","StoreNo","dbo","STORE","StoreNo"
"FK_MONTHLY_COST_PRODUCT","dbo","MONTHLY_COST","SKU","dbo","PRODUCT","SKU"
"FK_MONTHLY_STORE_QUANTITY_PRODUCT","dbo","MONTHLY_STORE_QUANTITY","SKU","dbo","PRODUCT","SKU"
"FK_MOVEMENT_NOTE_LINE_PRODUCT","dbo","MOVEMENT_NOTE_LINE","SKU","dbo","PRODUCT","SKU"
"FK_MOVEMENT_NOTE_NUMBER_STORE","dbo","MOVEMENT_NOTE_NUMBER","StoreNo","dbo","STORE","StoreNo"
"FK_PO_LINE_PRODUCT","dbo","PO_LINE","SKU","dbo","PRODUCT","SKU"
"FK__PO_STORE__STORE","dbo","PO_STORE","StoreNo","dbo","STORE","StoreNo"
"FK_POLL_LOG_STORE","dbo","POLL_LOG","StoreNo","dbo","STORE","StoreNo"
"FK_POLL_SETTINGS_STORE","dbo","POLL_SETTINGS","StoreNo","dbo","STORE","StoreNo"
"FK_POLL_STORE_ITEMS_STORE","dbo","POLL_STORE_ITEMS","StoreToSend","dbo","STORE","StoreNo"
"FK_POLL_STORE_ITEMS_STORE2","dbo","POLL_STORE_ITEMS","StoreNo","dbo","STORE","StoreNo"
"FK_PRE_TRANSFER_DIRECTIVE_DOCUMENT_STATUS","dbo","PRE_TRANSFER_DIRECTIVE","StatusCode","dbo","DOCUMENT_STATUS","StatusCode"
"FK_PRE_TRANSFER_DIRECTIVE_EMPLOYEE","dbo","PRE_TRANSFER_DIRECTIVE","EmployeeCode","dbo","EMPLOYEE","EmployeeCode"
"FK_PRE_TRANSFER_DIRECTIVE_EMPLOYEE1","dbo","PRE_TRANSFER_DIRECTIVE","Picker","dbo","EMPLOYEE","EmployeeCode"
"FK_PRE_TRANSFER_DIRECTIVE_POLL_STATUS","dbo","PRE_TRANSFER_DIRECTIVE","PollStatusCode","dbo","POLL_STATUS","PollStatusCode"
"FK_PRE_TRANSFER_DIRECTIVE_POLL_STATUS1","dbo","PRE_TRANSFER_DIRECTIVE","ResetPollStatusCode","dbo","POLL_STATUS","PollStatusCode"
"FK_PRE_TRANSFER_DIRECTIVE_STORE","dbo","PRE_TRANSFER_DIRECTIVE","StoreNo","dbo","STORE","StoreNo"
"FK_PRE_TRANSFER_DIRECTIVE_STORE1","dbo","PRE_TRANSFER_DIRECTIVE","OutToStoreNo","dbo","STORE","StoreNo"
"FK_PRE_TRANSFER_DIRECTIVE_TRANSFER_DIRECTIVE_FLAG1","dbo","PRE_TRANSFER_DIRECTIVE","Flag1","dbo","TRANSFER_DIRECTIVE_FLAG1","Flag1"
