"TABLE_SCHEMA","TABLE_NAME","TABLE_TYPE","COLUMN_NAME","DATA_TYPE","ORDINAL_POSITION","match_term"
"dbo","ACCR_DEBT","BASE TABLE","ReceiptStoreNo","int","3","store"
"dbo","ACCR_DEBT","BASE TABLE","DocNumberTrx","varchar","13","doc"
"dbo","ACCR_PAYMENT","BASE TABLE","NCStoreNo","int","5","store"
"dbo","ADDRESS_VALIDATION_AUDIT","BASE TABLE","StoreNo","int","2","store"
"dbo","ADJUSTMENT","BASE TABLE","StoreNo","int","2","store"
"dbo","ADJUSTMENT","BASE TABLE","ReasonCode","int","8","reason"
"dbo","ADJUSTMENT","BASE TABLE","DocNumber","varchar","10","doc"
"dbo","ADJUSTMENT","BASE TABLE","DocReference","varchar","22","doc"
"dbo","ADJUSTMENT","BASE TABLE","ReverseDocNo","int","23","doc"
"dbo","ADJUSTMENT","BASE TABLE","SourceStore","int","34","store"
"dbo","ADJUSTMENT_LINE","BASE TABLE","StoreNo","int","3","store"
"dbo","ADJUSTMENT_NOTE","BASE TABLE","StoreNo","int","2","store"
"dbo","ADJUSTMENT_NOTE","BASE TABLE","ReasonCode","int","6","reason"
"dbo","ADJUSTMENT_NOTE","BASE TABLE","DocNumber","varchar","14","doc"
"dbo","ADJUSTMENT_NOTE","BASE TABLE","ReverseDocNo","int","19","doc"
"dbo","ADJUSTMENT_NOTE","BASE TABLE","SourceStore","int","20","store"
"dbo","ADJUSTMENT_NOTE_LINE","BASE TABLE","StoreNo","int","2","store"
"dbo","ADJUSTMENT_NOTE_NUMBER","BASE TABLE","StoreNo","int","1","store"
"dbo","ADJUSTMENT_NUMBER","BASE TABLE","StoreNo","int","1","store"
"dbo","ADJUSTMENT_REASON","BASE TABLE","ReasonCode","int","1","reason"
"dbo","ADJUSTMENT_REASON","BASE TABLE","ReasonDescription","varchar","2","reason"
"dbo","ADJUSTMENT_REASON","BASE TABLE","PhysicalInventory","bit","3","reason"
"dbo","ADJUSTMENT_REASON","BASE TABLE","AssemblyKit","bit","4","reason"
"dbo","ADJUSTMENT_REASON","BASE TABLE","TypeCode","char","5","reason"
"dbo","ADJUSTMENT_REASON","BASE TABLE","Deleted","bit","6","reason"
